Duquesne,123,290,130,282,15,63,1
UMASS,540,449,348,402,84,70,2
Prairie View,244,87,140,310,28,31,1
Rice,379,564,457,397,58,73,2
Hawai'i,854,622,285,442,102,75,2
Colorado State,718,756,219,457,47,88,2
Wyoming,137,144,312,-9,29,7,1
New Mexico State,377,364,29,607,17,77,2
UCF,356,266,296,220,56,17,1
UCONN,266,356,220,296,17,56,1
Minnesota,227,233,295,20,48,10,1
Central Connecticut,117,336,174,316,6,42,1
Ball State,336,117,316,174,42,6,1
Kennesaw State,201,187,181,128,20,24,1
Georgia State,187,201,128,181,24,20,1
Southeastern  Louisiana,365,346,72,208,31,34,1
UL Monroe,346,365,208,72,34,31,1
Northwestern,235,270,166,202,31,27,1
Purdue,270,235,202,166,27,31,1
Wake Forest,378,281,154,155,23,17,1
Tulane,281,378,155,154,17,23,1
Savannah State,23,263,155,285,0,52,1
UAB,263,23,285,155,52,0,1
Missouri State,150,301,110,431,17,58,1
Oklahoma State,301,150,431,110,58,17,1
Weber State,13,319,46,268,10,41,1
Utah,319,13,268,46,41,10,1
Northwestern State,230,255,21,503,7,59,1
Texas A&M,255,230,503,21,59,7,1
UC DAVIS,446,365,143,141,44,38,1
San Jose State,365,446,141,143,38,44,1
Western Kentucky,181,257,124,234,3,34,1
Wisconsin,257,181,234,124,34,3,1
Utah State,319,287,25,165,31,38,1
Michigan State,287,319,165,25,38,31,1
San Diego State,113,332,150,50,10,31,1
Stanford,332,113,50,150,31,10,1
Syracuse,226,379,334,242,55,42,1
Western Michigan,379,226,242,334,42,55,1
Monmouth,199,302,187,171,17,51,1
Eastern Michigan,302,199,171,187,51,17,1
Army,197,197,168,184,14,34,1
Duke,197,197,184,168,34,14,1
Portland State,241,420,107,216,19,72,1
Nevada,420,241,216,107,72,19,1
Colorado,338,181,259,103,45,13,1
Louisville,252,297,16,222,14,51,1
Alabama,297,252,222,16,51,14,1
Furman,46,282,117,249,7,48,1
Clemson,282,46,249,117,48,7,1
Austin Peay,61,224,91,284,0,45,1
Georgia,224,61,284,91,45,0,1
Oregon State,196,346,196,375,31,77,1
Ohio State,346,196,375,196,77,31,1
Washington,296,273,102,147,16,21,1
Auburn,273,296,147,102,21,16,1
Florida Atlantic,192,334,132,316,14,63,1
Oklahoma,334,192,316,132,63,14,1
Appalachian State,292,229,159,205,38,45,1
Penn State,229,292,205,159,45,38,1
Michigan,249,170,58,132,17,24,1
Notre Dame,170,249,132,58,24,17,1
UNLV,97,282,308,219,21,43,1
USC,282,97,219,308,43,21,1
Southern,101,264,84,235,7,55,1
TCU,264,101,235,84,55,7,1
West Virginia,429,172,118,129,40,14,1
Tennessee,172,429,129,118,14,40,1
Stephen F Austin,177,398,77,220,6,63,1
Mississippi State,398,177,220,77,63,6,1
Boise State,305,255,111,124,56,20,1
Troy,255,305,124,111,20,56,1
Texas ,263,264,142,143,29,34,1
Maryland,264,263,143,142,34,29,1
Bowling Green,253,292,136,212,24,58,1
Oregon,292,252,212,136,58,24,1
Kent State,270,190,183,279,24,31,1
Illinois,190,270,279,183,31,24,1
Texas State,100,205,69,218,7,35,1
Rutgers,205,100,218,69,35,7,1
Coastal Carolina,112,294,126,263,15,49,1
South Carolina,294,112,263,126,49,15,1
Ole Miss,336,322,210,164,47,27,1
Texas Tech,322,336,164,210,27,47,1
James Madison,202,309,163,83,13,24,1
NC State,309,202,83,163,24,13,1
Villanova,254,205,151,46,19,17,1
Temple,205,254,46,151,17,19,1
Houston,320,292,257,147,45,27,1
Alcorn State,69,104,77,439,0,41,1
Georgia Tech,104,69,439,77,41,0,1
Boston College,326,250,272,66,55,21,1
Stony Brook,45,29,30,333,0,38,1
Air Force,29,45,333,30,38,0,1
Howard,484,277,161,146,32,38,1
Ohio,277,484,146,161,38,32,1
Albany,263,169,60,238,7,33,1
Pittsburgh,169,263,238,60,33,7,1
Central Michigan,137,128,118,299,20,35,1
Kentucky,128,137,299,118,35,20,1
Washington State,319,67,75,139,41,19,1
Wyoming,67,319,139,75,19,41,1
Northern Illinois,110,143,101,209,7,33,1
Iowa,143,110,209,101,33,7,1
North Carolina A&T,187,314,82,68,28,23,1
North Carolina,137,119,164,160,17,24,1
Cal,119,137,160,164,24,17,1
Eastern Illinois,230,353,127,80,20,55,1
Arkansas,353,230,80,127,55,20,1
Richmond,191,191,34,301,13,42,1
Virginia,191,191,301,34,42,13,1
Marshall,272,357,171,87,35,28,1
Miami (OH),357,272,87,171,28,35,1
Old Dominion,172,353,129,238,10,52,1
Liberty,353,172,238,129,52,10,1
Fordham,296,267,-9,221,10,34,1
Charlotte,267,296,221,-9,34,10,1
Elon,42,367,192,148,14,34,1
South Florida,367,42,148,192,34,14,1
Delaware State,76,200,199,154,10,48,1
Buffalo,200,76,154,199,48,10,1
South Carolina State,31,29,120,319,6,37,1
Georgia Southern,29,31,319,120,37,6,1
Grambling,159,241,145,315,17,49,1
Louisiana,241,159,315,145,49,17,1
VMI,174,390,51,213,3,66,1
Toledo,390,174,213,51,66,3,1
Southeast Missouri State,163,497,122,179,21,48,1
Arkansas State,497,163,179,122,48,21,1
Mercer,114,428,60,324,14,66,1
Memphis,428,114,324,60,66,14,1
Central Arkansas,165,196,82,274,27,38,1
Tulsa,196,165,274,82,38,27,1
Louisiana Tech,209,91,231,217,30,26,1
South Alabama Jaguars,91,209,217,231,26,30,1
Jackson State,98,255,101,202,7,55,1
Southern Mississippi,255,98,202,101,55,7,1
Cincinnati,110,162,194,144,26,17,1
UCLA,162,110,144,194,17,26,1
Indiana,252,157,213,170,38,28,1
Florida International,157,252,170,213,28,38,1
