BYU,UCF,24,31,153,326,189,63
Washington State,Stanford,17,34,292,284,-26,193
San Diego State,New Mexico,24,14,73,111,397,152
Fresno State,UNLV,27,30,310,332,177,146
Florida State,Syracuse,38,20,317,256,165,156
Auburn,Mississippi State,23,38,209,246,232,223
Ole Miss,Texas A&M,35,20,178,401,160,54
TCU,Baylor,58,61,346,510,139,272
North Carolina,Notre Dame,43,50,326,300,190,216
Alabama,Arkansas,14,13,161,246,66,89
Michigan State,Purdue,45,31,238,211,294,129
USC,Arizona,28,26,185,395,239,77
Texas,Oklahoma,26,31,334,129,148,103
Oregon,UCLA,42,30,210,225,258,328
Georgia,Missouri,34,0,169,97,210,50
Oklahoma State,Kansas,27,20,161,288,114,91
East Carolina,South Florida,28,17,250,257,231,93
Duke,Georgia Tech,31,25,131,201,242,282
Middle Tennessee,Marshall,24,49,201,337,169,252
Rice,Army,41,21,209,91,182,250
Cincinnati,Miami,34,55,355,286,67,335
Tulsa,Temple,24,35,260,294,178,203
West Virginia,Texas Tech,37,34,301,348,249,217
Illinois,Wisconsin,28,38,135,97,153,401
Indiana,Iowa,29,45,116,219,316,207
Northwestern,Minnesota,17,24,269,153,124,121
Louisiana Monroe,Kentucky,14,48,187,216,77,136
Buffalo,Eastern Michigan,27,37,383,147,154,337
Bowling Green,Ohio,31,13,260,386,95,127
Arkansas State,Georgia State,52,10,234,198,384,71
Western Michigan,Ball State,42,38,290,326,208,145
North Texas,UAB,21,56,291,320,163,128
Toledo,Iowa State,30,37,189,351,236,103
Boston College,NC State,30,14,101,174,310,43
Louisville,Clemson,17,23,212,157,52,72
VMI,Navy,14,51,202,82,60,352
Liberty,Appalachian State,55,48,356,397,145,240
Chattanooga,Tennessee,10,45,96,217,105,123
Central Michigan,Northern Illinois,34,17,269,231,283,110
Washington,California,31,7,273,304,111,64
Penn State,Michigan,13,18,160,192,54,64
Houston,Memphis,28,24,188,243,166,125
LSU,Florida,30,27,110,183,195,123
Charleston Southern,Vanderbilt,20,21,190,189,199,106
Connecticut,Tulane,3,12,141,135,76,167
Old Dominion,UTEP,35,42,196,152,161,313
Air Force,Utah State,16,34,224,311,155,77
Colorado State,Nevada,31,24,326,297,119,160
Wyoming,Hawai'i,28,38,221,281,101,232
