Duquesne,265,563,154,527,36,105,2
UMASS,3577,2520,1674,3297,394,515,12
Prairie View,482,217,180,624,45,77,2
Rice,2176,3329,1592,2081,237,437,12
Hawai'i,3724,2828,1412,2473,386,430,12
Colorado State,3286,2708,1203,2241,255,414,11
Wyoming,1535,2326,2027,1505,217,261,11
New Mexico State,2869,2336,1181,3080,282,468,11
UCF,2571,2200,2695,2014,436,204,10
UCONN,2047,3166,2268,3727,259,548,11
Minnesota,2458,2495,1760,1860,305,320,11
Central Connecticut,117,336,174,316,6,42,1
Ball State,2796,2366,1725,2514,269,347,11
Kennesaw State,201,187,181,128,20,24,1
Georgia State,2311,2757,1963,2736,273,414,11
Southeastern  Louisiana,554,497,137,392,31,65,2
UL Monroe,2769,2752,1865,1952,291,350,11
Northwestern,2734,2575,1116,1462,260,244,11
Purdue,3504,2978,1564,1833,355,306,11
Wake Forest,2564,3143,2237,2190,331,392,11
Tulane,1942,2995,2278,1806,279,306,11
Savannah State,71,518,185,524,0,129,2
UAB,2159,1742,2491,1318,351,173,11
Missouri State,150,301,110,431,17,58,1
Oklahoma State,3514,2919,2206,1903,407,358,11
Weber State,13,319,46,268,10,41,1
Utah,2441,2382,2219,1051,335,204,11
Northwestern State,230,255,21,503,7,59,1
Texas A&M,2857,2871,2212,889,342,244,11
UC DAVIS,704,579,193,278,54,68,2
San Jose State,2824,3090,678,2336,242,408,11
Western Kentucky,2630,2666,1446,2013,223,319,11
Wisconsin,1788,2286,3051,1694,336,254,11
Utah State,3103,2571,2382,1542,542,243,11
Michigan State,2479,2653,1327,868,223,206,11
San Diego State,2121,2343,1725,1070,238,230,11
Stanford,2864,2633,1082,1474,283,230,10
Syracuse,2776,2905,2280,1861,447,312,11
Western Michigan,2626,2356,2361,1918,370,379,11
Monmouth,199,302,187,171,17,51,1
Eastern Michigan,2604,1711,1556,2136,302,244,11
Army,895,2143,3333,1171,339,206,11
Duke,2614,2188,1846,2328,319,270,11
Portland State,399,686,173,512,33,134,2
Nevada,3129,2734,1722,1396,359,303,11
Colorado,2825,2700,1569,1652,304,294,11
Louisville,2454,2214,1472,2987,227,473,11
Alabama,3608,1865,2348,1238,536,144,11
Furman,46,282,117,249,7,48,1
Clemson,3000,1871,2725,927,492,133,11
Austin Peay,61,224,91,284,0,45,1
Georgia,2490,2010,2833,1413,436,185,11
Oregon State,2708,2941,1813,2990,298,493,11
Ohio State,3954,2611,2006,1774,458,271,11
Washington,2606,2121,1962,1377,308,183,11
Auburn,2361,2292,1839,1565,318,183,11
Florida Atlantic,2539,2750,2715,1911,349,354,11
Oklahoma,3469,2900,2868,1784,545,338,11
Appalachian State,2075,1522,2466,1254,389,159,10
Penn State,2334,2053,2193,1947,377,237,11
Michigan,2315,1355,2411,1228,403,149,11
Notre Dame,2835,2027,2165,1508,381,190,11
UNLV,1819,2916,2466,2070,311,418,11
USC,2640,2327,1508,1852,299,297,11
Southern,317,691,154,421,24,109,2
TCU,2541,2250,1531,1603,265,269,11
West Virginia,3400,2437,1620,1355,409,233,10
Tennessee,2218,2308,1446,1754,260,297,11
Stephen F Austin,177,398,77,220,6,63,2
Mississippi State,1996,1818,2408,1214,314,141,11
Boise State,3361,2496,1754,1418,411,244,11
Troy,2309,2463,2097,1370,347,233,11
Texas ,2935,2910,1734,1501,356,285,11
Maryland,1510,2223,2688,1897,339,306,11
Bowling Green,2717,1860,1341,3034,271,443,11
Oregon,2938,2686,1903,1663,391,309,11
Kent State,2334,2825,1881,2406,267,412,11
Illinois,1707,2732,3077,2682,296,449,11
Texas State,2053,2143,1535,1971,230,299,11
Rutgers,1477,2067,1501,2441,152,363,11
Coastal Carolina,1875,2275,2292,2602,292,367,11
South Carolina,2620,2198,1678,1901,328,267,10
Ole Miss,4005,3029,1932,2352,404,399,11
Texas Tech,3984,3152,1491,1757,424,338,11
James Madison,202,309,163,83,13,24,2
NC State,3311,2905,1284,1125,335,241,10
Villanova,254,205,151,46,19,17,2
Temple,2846,1896,1681,2171,370,289,11
Houston,3355,3288,2594,1969,526,353,11
Alcorn State,385,500,415,572,42,93,2
Georgia Tech,921,2453,3891,1513,406,302,11
Boston College,2332,2613,2164,1582,363,266,11
Stony Brook,45,29,30,333,0,38,1
Air Force,1495,2555,3011,1339,336,290,11
Howard,689,433,226,501,46,92,2
Ohio,2414,2810,2765,1597,445,292,11
Albany,263,169,60,238,7,33,1
Pittsburgh,1710,2655,2723,1799,333,309,11
Central Michigan,1481,1628,1400,2163,167,277,11
Kentucky,1717,2097,2076,1513,263,185,11
Washington State,4405,2276,900,1374,445,249,11
Northern Illinois,1540,2559,2014,1190,218,223,11
Iowa,2579,1981,1678,1094,347,181,11
North Carolina A&T,187,314,82,68,28,23,1
North Carolina,2464,2317,1970,2201,273,346,10
Cal,1944,1838,1695,1348,227,211,10
Eastern Illinois,230,353,127,80,20,55,1
Arkansas,2172,2717,1669,1833,260,379,11
Richmond,191,191,34,301,13,42,1
Virginia,2284,1962,1883,1631,311,227,11
Marshall,2348,2267,1484,915,281,198,10
Miami (OH),2388,2263,1553,1773,295,292,11
Old Dominion,3252,2964,1492,2322,357,404,11
Liberty,2819,2645,1488,2465,319,404,10
