Kent State,Bowling Green,7,42,245,177,9,420
Ohio,Central Michigan,20,27,208,268,149,18
Ball State,Toledo,19,37,260,325,133,179
Northern Illinois,Eastern Michigan,31,24,161,184,324,291
Louisville,Houston,10,36,211,298,101,64
Arkansas State,Troy,35,3,180,207,208,55
UNLV,Boise State,25,42,113,109,189,271
Memphis,Cincinnati,34,7,159,144,172,100
Chattanooga,Alabama,3,31,114,136,70,196
Ohio State,Michigan State,17,16,86,127,224,207
Indiana,Michigan,10,20,191,59,64,225
Clemson,Wake Forest,35,13,202,126,254,71
Arizona State,Washington,18,44,230,338,15,201
Wisconsin,Purdue,49,20,191,222,221,71
Penn State,Rutgers,39,0,210,48,339,39
Oklahoma,West Virginia,56,28,169,191,316,388
Washington State,Colorado,24,38,325,345,137,258
Oklahoma State,TCU,31,6,207,198,334,145
Oregon,Utah,30,28,324,235,251,218
USC,UCLA,36,14,267,211,260,55
Alabama A&M,Auburn,0,55,103,147,27,451
Florida,LSU,16,10,144,204,126,219
Florida State,Syracuse,45,14,320,196,334,37
Maryland,Nebraska,7,28,196,220,11,181
Missouri,Tennessee,37,63,320,223,420,386
Buffalo,Western Michigan,0,38,140,445,128,181
Stanford,California,45,31,198,393,357,90
UT San Antonio,Texas A&M,10,23,204,248,48,183
Kansas State,Baylor,42,21,177,258,237,110
Morgan State,Army,3,60,96,57,28,504
Louisiana,Georgia,21,35,189,165,276,235
UTEP,Rice,24,44,169,246,63,236
Iowa,Illinois,28,0,80,137,262,61
Virginia,Georgia Tech,17,31,220,122,189,199
Miami,NC State,27,13,286,210,129,119
Connecticut,Boston College,0,30,127,183,-6,154
Middle Tennessee,Charlotte,38,31,250,239,221,164
UMass,BYU,9,51,288,184,40,247
Georgia Southern,Georgia State,24,30,122,318,241,73
Louisiana Monroe,Appalachian State,17,42,136,208,225,429
Duke,Pittsburgh,14,56,243,237,25,224
San Diego State,Wyoming,33,34,211,282,178,205
Virginia Tech,Notre Dame,34,31,267,249,152,200
The Citadel,North Carolina,7,41,27,193,344,163
Temple,Tulane,31,0,337,24,196,118
Texas Tech,Iowa State,10,66,222,336,84,272
Texas,Kansas,21,24,165,220,238,112
Northwestern,Minnesota,12,29,276,197,63,131
Navy,East Carolina,66,31,113,238,480,176
Utah State,Nevada,37,38,127,127,396,214
Austin Peay,Kentucky,13,49,27,129,257,281
Texas State,New Mexico State,10,50,189,231,153,252
Southern Mississippi,North Texas,23,29,182,267,198,111
Old Dominion,Florida Atlantic,42,24,416,219,207,144
Marshall,Florida Intl,14,31,301,257,78,259
Hawai'i,Fresno State,14,13,227,108,49,214
Arkansas,Mississippi State,58,42,304,328,357,205
South Florida,SMU,35,27,195,423,278,155
Presbyterian College,South Alabama,7,31,78,167,197,251
Ole Miss,Vanderbilt,17,38,273,273,90,208
Tulsa,UCF,35,20,126,233,348,88
New Mexico,Colorado State,31,49,81,164,285,412
Arizona,Oregon State,17,42,188,265,162,210
Air Force,San Jose State,41,38,33,340,458,117
