TCU,SMU,42,12,154,111,239,131
Arkansas State,Alabama,7,57,218,321,173,278
Clemson,Texas A&M,28,26,298,430,115,71
Georgia,South Carolina,41,17,202,282,271,54
Rutgers,Ohio State,3,52,65,354,69,225
New Mexico,Wisconsin,14,45,134,151,77,417
UCLA,Oklahoma,21,49,254,306,129,179
Alabama State,Auburn,9,63,158,138,47,429
Ball State,Notre Dame,16,24,180,297,169,117
North Dakota,Washington,3,45,101,437,161,195
USC,Stanford,3,17,218,183,114,159
Southeastern Louisiana,LSU,0,31,189,151,65,184
William & Mary,Virginia Tech,17,62,232,281,34,305
Penn State,Pittsburgh,51,6,179,55,211,245
Youngstown State,West Virginia,17,52,157,336,136,289
Michigan State,Arizona State,13,16,314,380,63,44
Mississippi State,Kansas State,31,10,154,100,384,113
South Carolina State,UCF,0,38,80,250,177,316
UConn,Boise State,7,62,71,418,122,400
Western Michigan,Michigan,3,49,85,143,123,308
Savannah State,Miami,0,77,48,255,30,239
Portland State,Oregon,14,62,158,266,66,296
Kentucky,Florida,27,16,151,232,303,128
Towson,Wake Forest,20,51,345,242,65,340
Eastern Michigan,Purdue,20,19,347,135,69,341
Liberty,Army,14,38,307,61,110,449
Nevada,Vanderbilt,10,41,216,270,34,198
Arizona,Houston,18,45,381,254,150,297
Duke,Northwestern,21,7,204,282,97,99
Georgia Tech,South Florida,38,49,183,202,419,224
Georgia State,NC State,7,41,242,426,107,115
Holy Cross,Boston College,14,62,66,245,128,365
Air Force,Florida Atlantic,27,33,164,471,209,54
Kansas,Central Michigan,31,7,145,177,216,103
Colorado,Nebraska,33,28,351,236,44,329
Buffalo,Temple,36,29,275,240,152,115
Memphis,Navy,21,22,145,52,233,264
North Carolina,East Carolina,19,41,234,290,161,220
Wagner,Syracuse,10,62,247,241,41,215
Howard,Kent State,14,54,205,156,65,355
Lamar,Texas Tech,0,77,80,419,102,264
Southern Illinois,Ole Miss,41,76,388,479,241,167
East Tennessee State,Tennessee,3,59,69,224,125,190
Iowa State,Iowa,3,13,169,166,19,105
Maryland,Bowling Green,45,14,121,143,444,15
UMass,Georgia Southern,13,34,216,154,107,334
Appalachian State,Charlotte,45,9,295,108,139,95
Eastern Kentucky,Marshall,16,32,48,278,139,89
UT Martin,Middle Tennessee,37,61,358,407,102,77
Southern,Louisiana Tech,17,54,216,427,70,186
UL Monroe,Southern Mississippi,21,20,195,378,159,58
UAB,Coastal Carolina,24,47,149,167,286,296
Baylor,UTSA,37,20,403,157,91,98
Indiana State,Louisville,7,31,37,164,174,199
Wyoming,Missouri,13,40,160,398,88,203
Texas Southern,Texas State,20,36,315,241,36,306
Florida A&M,Troy,7,59,219,185,68,292
Samford,Florida State,26,36,475,320,50,134
Western Illinois,Illinois,14,34,295,138,66,238
Virginia,Indiana,16,20,106,150,188,237
Arkansas,Colorado State,27,34,144,389,299,40
Utah,Northern Illinois,17,6,286,111,68,117
Maine,Western Kentucky,31,28,182,347,142,42
Florida International,Old Dominion,28,20,300,303,189,93
Incarnate Word,North Texas,16,58,152,454,144,153
Fresno State,Minnesota,14,21,212,175,87,132
New Mexico State,Utah State,13,60,171,172,109,260
South Alabama,Oklahoma State,13,55,136,453,78,164
Tulsa,Texas,21,28,164,237,189,241
Nicholls,Tulane,17,42,239,190,176,268
Southern Utah,Oregon State,25,48,340,289,148,360
Cincinnati,Miami (OH),21,0,45,139,188,59
UTEP,UNLV,24,52,123,119,265,414
Sacramento State,San Diego State,14,28,181,271,53,158
California,BYU,21,18,219,196,167,91
San Jose State,Washington State,0,31,100,420,9,124
Rice,Hawai'i,29,43,299,319,147,162
