Duquesne,265,563,154,527,36,105,2
UMASS,2370,1791,985,2184,267,338,8
Prairie View,482,217,180,624,45,77,2
Rice,1332,2100,1230,1428,171,292,8
Hawai'i,2763,2218,1198,1612,314,296,9
Colorado State,2460,2019,910,1577,200,302,8
Wyoming,1106,1767,1201,1052,124,204,8
New Mexico State,1934,1714,847,2186,200,354,8
UCF,1932,1488,1828,1280,311,127,7
UCONN,1402,2280,1304,2280,152,360,7
Minnesota,1549,1672,1028,1094,181,200,7
Central Connecticut,117,336,174,316,6,42,1
Ball State,2009,1709,1484,1538,200,209,8
Kennesaw State,201,187,181,128,20,24,1
Georgia State,1603,1741,1013,1738,169,256,7
Southeastern  Louisiana,554,497,137,392,31,65,2
UL Monroe,1838,2299,1396,1567,192,284,8
Northwestern,2074,1608,547,1003,170,172,7
Purdue,2363,2075,1237,957,250,159,7
Wake Forest,1563,1938,1493,1551,211,259,7
Tulane,1270,1927,1226,1181,173,208,7
Savannah State,71,518,185,524,0,129,2
UAB,1305,1153,1599,958,234,106,7
Missouri State,150,301,110,431,17,58,1
Oklahoma State,2043,1765,1408,998,246,199,7
Weber State,13,319,46,268,10,41,1
Utah,1666,1483,1315,522,212,124,7
Northwestern State,230,255,21,503,7,59,1
Texas A&M,1977,1692,1430,549,226,144,7
UC DAVIS,704,579,193,278,54,68,2
San Jose State,1788,1828,364,1302,147,264,7
Western Kentucky,1774,1664,838,1205,141,202,7
Wisconsin,1254,1312,1975,1181,231,140,7
Utah State,1733,1353,1333,1173,334,159,7
Michigan State,1708,1930,753,557,164,155,7
San Diego State,1101,1563,1238,585,145,129,7
Stanford,1842,1765,641,1070,174,145,7
Syracuse,1832,1655,1490,1260,298,188,7
Western Michigan,1980,1663,1757,1327,291,227,8
Monmouth,199,302,187,171,17,51,1
Eastern Michigan,2059,1495,1133,1709,236,193,8
Army,605,1606,2228,741,226,143,7
Duke,1555,1455,1105,1021,206,134,7
Portland State,399,686,173,512,33,134,2
Nevada,2176,2095,1279,1119,261,257,8
Colorado,1779,1438,1203,1022,222,150,7
Louisville,1498,1276,760,1637,143,234,7
Alabama,2779,1556,1735,907,433,127,8
Furman,46,282,117,249,7,48,1
Clemson,1881,1110,1776,754,294,94,7
Austin Peay,61,224,91,284,0,45,1
Georgia,1649,1220,1584,954,273,114,7
Oregon State,1597,1865,1366,1922,196,331,7
Ohio State,3070,1929,1374,1197,344,183,8
Washington,2025,1394,1419,1075,229,125,8
Auburn,1739,1780,1378,1004,227,132,8
Florida Atlantic,1706,1768,1539,1371,215,263,7
Oklahoma,2108,1749,1576,1053,340,191,7
Appalachian State,1266,1095,1590,622,269,94,6
Penn State,1679,1588,1685,1156,298,154,7
Michigan,1661,983,1702,777,288,115,8
Notre Dame,1740,1503,1254,883,228,131,7
UNLV,1003,1686,1682,1549,216,261,7
USC,1675,1601,818,1111,182,192,7
Southern,317,691,154,421,24,109,2
TCU,1592,1305,1168,1102,199,173,7
West Virginia,1923,1311,863,848,221,123,6
Tennessee,1469,1562,985,1134,181,210,7
Stephen F Austin,177,398,77,220,6,63,2
Mississippi State,1199,1175,1645,802,189,95,7
Boise State,2247,1576,1114,855,273,159,7
Troy,1441,1673,1454,930,236,172,7
Texas ,1760,1641,1113,885,215,161,7
Maryland,770,1227,1539,982,190,163,7
Bowling Green,2166,1461,856,2663,198,389,8
Oregon,1910,1756,1315,814,278,183,7
Kent State,1780,2341,1373,1578,184,280,8
Illinois,1022,1704,1898,1554,173,238,7
Texas State,1328,1318,917,1235,149,198,7
Rutgers,1111,1468,1048,1792,121,270,8
Coastal Carolina,1264,1603,1762,1462,215,225,7
South Carolina,1502,1195,922,1075,173,155,6
Ole Miss,2796,2239,1507,1743,307,277,8
Texas Tech,2681,2017,1182,951,307,185,7
James Madison,202,309,163,83,13,24,2
NC State,1870,1550,828,628,172,125,6
Villanova,254,205,151,46,19,17,2
Temple,1913,1180,1070,1464,244,171,8
Houston,2249,2335,1638,1045,341,196,7
Alcorn State,69,104,77,439,0,41,1
Georgia Tech,707,1606,2467,961,262,198,7
Boston College,1544,1565,1588,1031,277,182,7
Stony Brook,45,29,30,333,0,38,1
Air Force,858,1654,1845,746,215,166,7
Howard,689,433,226,501,46,92,2
Ohio,1735,2177,1460,1084,254,217,7
Albany,263,169,60,238,7,33,1
Pittsburgh,1021,1608,1339,1261,170,216,7
Central Michigan,1157,1125,1125,1694,137,219,8
Kentucky,891,1329,1621,784,190,90,7
Washington State,2805,1248,508,940,285,163,7
Northern Illinois,949,1654,1121,801,130,163,7
Iowa,1623,1250,1158,557,214,99,7
North Carolina A&T,187,314,82,68,28,23,1
North Carolina,1406,1335,1127,1131,140,209,6
Cal,1521,1165,1378,1081,187,168,7
Eastern Illinois,230,353,127,80,20,55,1
Arkansas,1582,2142,1377,1132,206,258,8
Richmond,191,191,34,301,13,42,1
Virginia,1421,1444,1280,838,195,129,7
Marshall,1565,1898,1188,740,204,159,7
Miami (OH),1769,1585,1161,1213,210,206,8
Old Dominion,2448,2228,908,1887,229,308,8
Liberty,2319,1746,1012,1667,236,244,7
Fordham,296,267,-9,221,10,34,1
Charlotte,1508,1534,998,589,162,196,7
Elon,42,367,192,148,14,34,1
South Florida,1872,1262,1663,1606,249,180,7
Delaware State,84,486,314,395,10,116,2
Buffalo,1880,1347,1410,1305,263,169,8
South Carolina State,111,279,297,635,6,75,2
Georgia Southern,531,1536,1929,1037,217,135,7
Grambling,159,241,145,315,17,49,1
Louisiana,1550,1652,1629,1567,226,251,7
