Buffalo,Miami (OH),50,50,0
Kent State,Ohio,50,50,0
Northern Illinois,Toledo,16,50,0
Rutgers,UCF,50,18,1
Rice,UAB,50,50,0
UNLV,Air Force,50,50,0
Navy,San Jose State,50,50,0
Chattanooga,Alabama,100,1,1
Idaho,Florida State,100,2,1
Indiana,Ohio State,50,3,1
Baylor,Oklahoma State,4,10,1
Oregon,Arizona,5,50,1
The Citadel,Clemson,100,7,1
Missouri,Ole Miss,8,24,0
California,Stanford,50,9,1
Coastal Carolina,South Carolina,50,11,1
Texas A&M,LSU,12,22,1
Michigan State,Northwestern,13,50,0
Arizona State,UCLA,17,14,0
New Mexico,Fresno State,50,15,1
Wisconsin,Minnesota,19,25,0
Oklahoma,Kansas State,20,50,0
Memphis,Louisville,50,21,1
USC,Colorado,23,50,0
Old Dominion,North Carolina,50,50,1
Duke,Wake Forest,50,50,0
Cincinnati,Houston,50,50,0
Michigan,Iowa,50,50,1
Virginia,Miami,50,50,1
Illinois,Purdue,50,50,0
East Carolina,NC State,50,50,0
Pittsburgh,Syracuse,50,50,0
UMass,Central Michigan,50,50,1
Bowling Green,Eastern Michigan,50,50,0
Alabama A&M,Georgia Tech,100,50,1
Georgia Southern,Florida,50,50,0
Hawai'i,Wyoming,50,50,1
Georgia State,Arkansas State,50,50,1
New Mexico State,Florida Atlantic,50,50,1
Colorado State,Utah State,50,50,1
UTEP,Tulane,50,50,1
Middle Tennessee,Southern Mississippi,50,100,0
BYU,Notre Dame,50,50,1
Boston College,Maryland,50,50,0
Nebraska,Penn State,50,50,0
UT San Antonio,North Texas,100,50,0
Utah,Washington State,50,50,1
Marshall,Florida Intl,50,100,0
Tulsa,Louisiana Tech,50,50,0
Vanderbilt,Tennessee,50,50,0
SMU,South Florida,50,50,0
Kentucky,Georgia,50,50,1
Louisiana Monroe,South Alabama,100,50,1
Western Kentucky,Texas State,50,50,0
Connecticut,Temple,100,50,0
Kansas,Iowa State,50,50,1
Boise State,San Diego State,50,50,1
Washington,Oregon State,50,50,0
