Bowling Green,Kent State,50,50,0
Miami (OH),Ohio,50,50,1
Central Michigan,Western Michigan,50,50,0
Ball State,Eastern Michigan,50,50,1
Northern Illinois,Toledo,50,50,1
Navy,Temple,50,50,1
Idaho,Troy,100,50,1
Memphis,Tulsa,23,50,0
Marshall,Florida Atlantic,50,50,1
UCLA,Utah,50,50,1
South Carolina,Georgia,50,1,1
LSU,Alabama,19,2,1
Wake Forest,Notre Dame,50,3,1
Clemson,NC State,4,20,0
Oklahoma,Oklahoma State,5,11,0
Ohio State,Iowa,6,50,1
Penn State,Michigan State,7,24,1
Texas,TCU,50,8,1
Wisconsin,Indiana,9,50,0
Virginia Tech,Miami,13,10,1
Oregon,Washington,50,12,1
Auburn,Texas A&M,14,50,0
Iowa State,West Virginia,15,50,1
UMass,Mississippi State,50,16,1
Arizona,USC,22,17,1
UCF,SMU,18,50,0
Stanford,Washington State,21,25,1
Florida,Missouri,50,50,1
Kansas State,Texas Tech,50,50,0
Western Kentucky,Vanderbilt,50,50,1
Baylor,Kansas,50,50,0
Illinois,Purdue,50,50,1
East Carolina,Houston,50,50,1
Syracuse,Florida State,50,50,1
Georgia Tech,Virginia,50,50,1
Appalachian State,Louisiana Monroe,50,100,1
Georgia State,Georgia Southern,50,50,0
Rice,UAB,50,50,1
New Mexico State,Texas State,50,50,0
South Florida,UConn,50,50,0
Maryland,Rutgers,50,50,1
Charlotte,Old Dominion,50,50,1
North Texas,Louisiana Tech,50,50,0
Northwestern,Nebraska,50,50,0
Army,Air Force,50,50,0
Ole Miss,Kentucky,50,50,0
Coastal Carolina,Arkansas,50,50,1
Cincinnati,Tulane,50,50,0
Louisiana,South Alabama,50,50,0
Oregon State,California,50,50,1
Utah State,New Mexico,50,50,0
Hawai'i,UNLV,50,50,1
Nevada,Boise State,50,50,1
Colorado State,Wyoming,50,50,1
UT San Antonio,Florida Intl,100,100,1
Southern Mississippi,Tennessee,100,50,1
UTEP,Middle Tennessee,50,50,1
Minnesota,Michigan,50,50,1
Colorado,Arizona State,50,50,1
San Diego State,San Jose State,50,50,0
BYU,Fresno State,50,50,1
